"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a skipped test","IGNORED","2018-10-08T21:47:02.21-03:00[America/Sao_Paulo]","0.0","0.23"
"First serenity test","This test will get the information of all the students n the student App","SUCCESS","2018-10-08T21:47:02.443-03:00[America/Sao_Paulo]","0.0","0.34"
"First serenity test","This IA failing test","FAILURE","2018-10-08T21:47:02.784-03:00[America/Sao_Paulo]","0.0","0.5"
"First serenity test","This is a pending test","PENDING","2018-10-08T21:47:03.284-03:00[America/Sao_Paulo]","0.0","0.24"
"First serenity test","This is a manual test","PENDING","2018-10-08T21:47:03.523-03:00[America/Sao_Paulo]","0.0","0.18"
"First serenity test","This is a test with error","ERROR","2018-10-08T21:47:03.703-03:00[America/Sao_Paulo]","0.0","0.19"
"First serenity test","File does not exist","COMPROMISED","2018-10-08T21:47:03.897-03:00[America/Sao_Paulo]","0.0","0.18"
"First serenity test","Get all students","SUCCESS","2018-10-08T21:47:04.075-03:00[America/Sao_Paulo]","0.0","0.21"
